VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariation;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;FuelConsumptionAverage;RoadSurface;Traffic;DrivingStyle
4;3;-2;25;95;100;847;4,85;34;17,80;1;3;2
2;3;-2;23;95;100;807;4,65;34;17,80;1;3;2
11;3;-1;15;97;104;1661;10,84;32;22,16;1;3;2
27;4;3;25;96;142;2172;25,38;42;19,18;1;1;2
22;4;2;35;97;112;1659;14,70;40;15,15;1;1;1
14;4;1;11;76;104;1789;11,73;36;20,30;1;3;1
11;4;3;38;96;106;1554;13,14;33;21,27;1;3;1
11;4;1;15;97;103;1676;10,16;32;22,25;1;3;2
36;4;1;79;94;126;1603;20,86;58;10,77;3;1;2
11;4;-3;11;76;103;1587;10,36;36;20,33;1;3;1
10;4;0;23;74;101;1404;8,57;37;20,16;1;3;1
14;4;3;27;96;110;1938;14,24;34;21,36;1;3;1
16;4;0;10;96;114;2370;18,95;34;21,72;1;3;2
27;4;6;49;89;161;1822;29,70;32;22,92;1;1;1
7;4;7;38;79;104;996;11,54;36;20,56;1;2;1
32;4;1;29;65;119;2311;19,78;36;24,85;1;1;2
14;4;1;13;96;111;2154;16,03;34;21,45;1;3;1
21;4;9;77;89;137;1389;18,64;31;22,77;1;1;1
10;4;-1;20;76;102;1482;9,41;36;20,37;1;3;1
16;4;0;13;96;113;2319;19,12;34;21,71;1;3;2
15;4;1;13;96;111;2239;17,26;35;21,57;1;3;2
24;4;6;65;94;178;2464;40,11;32;23,34;1;1;2
16;4;1;13;96;112;2287;17,67;34;21,66;1;3;2
24;4;2;28;97;117;1862;15,26;40;15,16;1;1;1
31;4;7;13;94;122;2464;31,90;34;23,37;1;1;2
32;4;5;46;89;149;2184;40,62;32;23,09;1;1;2
9;4;2;35;79;108;1801;12,89;37;20,58;1;2;1
31;4;4;25;96;130;2318;20,60;40;19,16;1;1;2
13;4;6;60;89;123;2008;22,63;32;22,64;1;1;1
9;4;0;23;77;101;1548;9,07;35;20,37;1;3;1
15;4;3;14;96;111;2162;15,43;38;16,70;1;1;2
35;4;4;61;94;129;1554;20,04;31;23,32;1;1;2
36;4;4;35;90;126;2512;31,42;33;23,24;1;1;2
10;4;1;17;77;101;1455;13,14;36;20,40;1;3;1
14;4;-1;14;96;112;2241;16,27;38;16,69;1;1;2
13;4;4;22;80;109;1952;14,70;37;20,67;1;2;1
32;4;-1;19;62;103;819,5;7,05;35;14,94;2;1;2
11;4;0;24;74;102;1473;8,89;38;20,18;1;3;1
29;4;4;28;96;145;2238;31,81;32;13,85;1;1;2
37;4;3;73;98;141;1709;23,62;41;17,11;1;1;2
23;4;-5;17;96;102;1025;8,98;42;21,65;1;1;2
23;4;1;47;96;107;1656;17,96;34;22,93;1;1;2
40;4;4;78;94;130;1741,5;21,72;60;10,78;3;1;2
6;4;6;44;89;138;2008;21,57;31;22,48;1;1;1
37;4;2;57;95;140;1689;24,00;31;23,28;1;1;2
27;4;2;15;97;112;1994;15,02;40;15,17;1;1;1
15;4;1;29;96;104;1165;7,29;38;16,59;1;1;2
9;4;0;7;97;103;1198;10,04;32;22,69;1;3;2
32;4;1;33;66;121;2228;20,75;36;24,83;1;1;2
36;4;0;55;90;116;2412;23,21;31;23,35;1;1;2
7;4;-1;23;77;102;837;4,37;33;20,44;1;3;1
2;5;-4;25;77;101;809;4,65;32;20,44;1;3;1
6;5;-4;22;97;103;813;4,49;31;22,76;1;3;2
16;5;2;14;80;105;1162;17,17;38;20,73;1;2;1
16;5;0;35;96;102;1282;9,59;34;16,56;1;1;2
1;5;-1;26;77;100;804;4,58;33;20,44;1;3;2
21;5;-1;23;95;109;1499;15,67;37;24,79;1;1;1
3;5;-3;22;97;101;839;7,00;29;22,91;1;3;2
1;5;-2;24;97;101;785;6,13;31;22,91;1;3;2
33;5;2;60;96;123;2040;17,77;40;19,12;1;1;2
9;5;9;31;77;101;1184;9,78;37;20,46;1;3;2
16;5;0;33;96;103;1401;10,00;35;16,52;1;1;2
21;5;-2;58;96;117;1741;16,15;41;21,68;1;1;2
37;5;1;73;90;145;1847;24,27;30;23,47;1;1;2
40;5;3;54;95;153;1842;28,62;31;23,24;1;1;2
24;5;1;42;96;123;1899;23,01;37;22,98;1;1;2
32;5;0;91;62;107;1328,5;17,63;34;14,97;2;1;2
16;5;0;83;80;107;1229;10,84;36;20,75;1;2;1
9;5;0;31;77;102;1439;10,57;37;20,49;1;3;2
18;5;-3;87;74;107;1300;16,61;40;24,11;3;3;2
28;5;2;12;97;109;2031;13,45;39;15,17;1;1;1
11;5;3;33;74;102;1458;10,07;37;20,19;1;3;1
22;5;1;22;95;105;1490;10,89;36;24,71;1;1;1
18;5;2;13;96;103;1419;11,15;35;16,49;1;3;2
33;5;1;49;66;110;1448;17,31;35;24,76;1;1;2
41;5;4;42;98;136;1802;16,40;39;17,08;1;1;2
12;5;4;23;77;104;1807;13,45;38;20,52;1;3;2
17;5;2;25;80;108;1305;13,93;36;20,76;1;2;1
40;5;3;61;90;166;1847;30,62;31;23,59;1;1;2
43;5;4;33;94;117;1824,5;19,13;60;10,79;3;1;2
25;5;3;71;96;158;2156;24,44;42;21,74;1;1;2
34;5;1;51;96;116;1518;18,55;39;19,12;1;1;2
44;5;4;45;95;152;1984;32,05;31;23,25;1;1;2
18;5;-1;6;96;102;1340;12,12;35;16,47;1;3;2
34;5;3;80;62;117;1457,5;20,49;36;15,01;2;1;2
6;5;6;43;80;103;1288;14,18;38;21,09;1;2;1
28;5;0;11;96;109;1971;14,17;39;15,17;1;1;1
8;5;2;44;82;110;1755;15,50;37;21,23;1;2;1
7;6;7;27;74;104;1309;8,83;38;20,20;1;3;1
33;6;0;71;66;119;1549;19,46;36;24,70;1;1;2
44;6;4;53;90;170;2139;35,82;31;23,73;1;1;2
14;6;-4;20;80;101;963;9,87;36;20,75;1;2;1
30;6;6;75;96;201;2585;48,20;46;21,90;1;1;2
24;6;-1;18;96;105;1172;11,32;29;13,85;1;1;2
11;6;3;20;82;112;1500;9,82;39;21,36;1;2;1
42;6;1;10;98;117;1799;17,77;39;17,00;1;1;2
47;6;3;44;95;140;2086;31,35;31;23,25;1;1;2
36;6;2;51;96;124;1625;20,29;40;19,12;1;1;2
15;6;0;64;77;111;1369;9,17;39;20,63;1;3;2
11;6;-3;25;80;100;889;5,12;34;20,84;1;2;1
20;6;3;61;95;176;2275;32,22;31;16,34;1;1;2
28;6;0;14;96;108;1978;14,25;39;15,15;1;1;1
3;6;0;25;97;100;801;4,88;33;16,63;1;3;2
5;6;-6;29;80;100;862;5,41;32;20,84;1;2;1
1;6;-4;27;80;100;820;5,05;33;20,84;1;2;1
14;6;2;94;82;106;1086;12,15;39;21,50;1;2;1
0;6;-1;31;80;100;806;4,70;33;20,84;1;2;1
38;6;4;78;62;123;1608,5;22,30;36;15,01;2;1;2
28;6;5;60;95;163;2168;40,33;34;14,12;1;1;2
3;6;-3;25;97;100;814;4,88;33;16,63;1;3;2
15;6;1;43;82;108;1268;9,30;36;21,60;1;2;1
32;6;12;68;95;194;2710;48,47;33;16,38;1;1;2
15;6;-3;22;97;102;913;5,09;36;16,48;1;3;2
17;6;2;49;77;107;1245;13,84;37;20,66;1;3;2
6;6;-3;24;97;100;844;5,05;32;16,63;1;3;2
48;6;3;50;91;151;2265;35,62;31;23,90;1;1;2
36;6;2;64;66;126;1646;21,69;36;24,65;1;1;2
15;6;0;15;83;108;2015;13,86;37;22,52;1;2;2
14;6;0;15;83;107;1964;13,08;36;22,49;1;2;2
12;6;-3;23;97;101;868;4,73;34;16,53;1;3;2
9;6;-3;27;97;100;847;4,73;32;16,53;1;3;2
14;6;0;18;83;106;1959;13,23;36;22,47;1;2;2
15;6;0;16;83;109;2065;14,54;37;22,56;1;2;2
18;6;3;33;82;103;1253;8,21;37;21,62;1;2;1
15;6;0;15;83;110;2140;15,17;38;22,61;1;2;2
15;6;1;19;83;111;2187;16,39;38;22,63;1;2;2
14;6;1;22;83;108;2077;15,35;38;22,57;1;2;2
27;6;0;12;96;108;1964;13,91;38;15,14;1;1;1
35;6;3;51;96;141;2342;21,08;35;23,14;1;1;2
42;6;0;9;98;110;1752;13,72;38;16,88;1;1;2
37;6;2;44;96;129;1695;16,51;39;19,08;1;1;2
19;6;2;9;77;111;1422;10,43;38;20,65;1;3;2
50;6;3;33;95;128;2226;27,17;30;23,21;1;1;2
16;6;-2;20;95;101;1006;5,65;34;24,32;1;1;1
33;7;5;47;95;171;2591;43,95;35;14,16;1;1;2
40;7;2;77;62;127;1725,5;24,08;39;15,01;2;1;2
14;7;-1;28;95;100;1040;6,68;32;24,24;1;1;1
27;7;0;12;96;108;1968;13,81;38;15,14;1;1;1
40;7;7;75;96;144;1877;24,03;32;16,40;1;1;2
38;7;2;43;66;125;1697;16,85;36;24,55;1;1;2
51;7;3;46;91;138;2384;33,28;31;24,02;1;1;2
38;7;2;87;97;162;1840;33,47;45;21,94;1;1;2
3;7;-1;26;96;100;844;5,21;34;23,20;1;1;1
15;7;0;20;95;100;1061;7,00;32;24,22;1;1;1
44;7;3;10;62;119;1480;25,66;46;13,77;2;1;2
51;7;2;35;96;129;2285;27,46;30;23,17;1;1;2
15;7;0;27;95;100;1071;7,00;34;24,22;1;1;1
41;7;2;69;96;169;2069;40,33;29;16,41;1;1;2
43;7;4;76;62;132;1855;24,08;41;15,01;2;1;2
17;7;-2;22;78;103;1050;8,81;36;20,63;1;3;2
40;7;1;41;66;118;1734;14,39;35;24,39;1;1;2
15;7;0;28;96;100;1121;6,61;34;24,19;1;1;1
4;8;-2;26;96;100;857;5,14;34;23,20;1;1;1
12;8;-4;27;78;102;892;4,80;33;20,57;1;3;2
54;8;3;65;91;167;2490;38,54;30;24,13;1;1;2
42;8;4;77;97;181;2032;32,32;43;21,96;1;1;2
27;8;-1;9;95;108;1813;17,97;39;15,14;1;1;1
9;8;-4;31;78;101;867;5,33;32;20,58;1;3;2
16;8;1;34;96;100;1224;6,74;34;24,14;1;1;1
8;8;0;31;78;100;962;8,95;33;20,65;1;3;2
20;8;5;64;100;140;1878;28,26;43;17,98;1;1;1
16;8;2;78;100;119;1502;20,21;45;17,96;1;1;1
42;8;2;78;96;124;2025;27,53;31;14,20;1;1;2
25;8;4;50;100;159;2152;36,85;44;18,02;1;1;2
8;8;0;11;78;101;1131;7,75;36;20,71;1;3;2
45;8;4;71;96;197;2281;40,33;29;16,41;1;1;2
52;8;1;42;96;139;2349;30,33;30;23,13;1;1;2
6;8;-2;27;78;101;776;5,19;35;20,76;1;3;2
20;8;4;49;96;106;1434;12,51;34;24,18;1;1;1
25;8;-2;20;95;110;1723;12,22;38;15,11;1;1;1
6;8;0;24;96;100;882;5,09;34;23,08;1;1;1
47;8;4;73;62;126;1924,5;24,72;43;15,01;2;1;2
4;8;-2;56;78;101;818;6,27;33;20,84;1;3;2
4;8;-2;46;50;99;899;6,20;36;35,64;1;1;1
30;8;5;47;100;153;2417;26,59;45;18,05;1;1;2
6;8;2;21;78;101;1070;8,31;37;20,89;1;3;2
6;8;2;56;50;101;1066;10,96;36;36,05;1;1;1
10;8;2;40;100;119;2137;22,29;43;17,88;1;1;1
7;8;1;11;78;102;1162;6,51;36;20,94;1;3;2
47;8;5;85;97;211;2232;39,99;44;22,00;1;1;2
8;8;2;35;50;102;1629;10,93;39;36,12;1;1;1
22;8;1;33;96;108;1604;12,63;37;24,25;1;1;1
56;8;2;16;91;132;2509;36,35;31;24,25;1;1;2
24;8;-1;21;95;107;1743;11,73;37;15,10;1;1;1
9;8;1;28;50;103;1629;12,85;39;36,16;1;1;1
33;8;3;54;100;122;1521;19,54;45;18,04;1;1;2
5;9;-2;31;78;101;850;4,97;34;21,01;1;3;2
8;9;8;40;100;105;1581;15,28;40;17,83;1;1;1
6;9;6;35;96;100;896;5,50;33;23,00;1;1;1
44;9;2;82;96;160;2039;40,35;31;14,21;1;1;2
6;9;0;30;78;100;971;10,77;36;21,09;1;3;2
39;9;-3;28;94;104;755,5;7,16;54;10,75;3;1;2
8;9;-6;21;97;101;876;6,27;30;16,14;1;1;2
13;9;-8;19;97;104;904;4,65;35;16,07;1;1;2
46;9;-1;100;64;108;1355,5;7,77;41;13,62;2;1;2
6;9;-2;20;97;101;1028;7,21;30;16,22;1;1;2
50;9;5;74;97;210;2461;48,62;31;16,41;1;1;2
27;9;-1;11;97;112;2058;15,38;36;15,79;1;1;2
7;9;1;25;97;101;1164;6,98;32;16,29;1;1;2
24;9;2;25;96;106;1686;11,18;36;24,29;1;1;1
14;9;2;56;50;102;967;9,44;39;35,80;1;1;1
25;9;1;14;95;104;1795;11,25;37;15,08;1;1;1
48;9;1;27;64;106;905,5;19,58;42;14,99;2;1;2
35;9;2;69;100;135;1642;19,54;43;18,04;1;1;2
8;9;1;22;97;100;1216;7,58;33;16,37;1;1;2
27;9;4;8;94;111;1967;14,34;37;16,11;1;2;2
8;9;8;56;62;101;1376;14,39;39;21,99;1;1;1
30;9;2;9;97;117;2227;22,63;37;15,60;1;1;2
9;9;1;21;97;100;1301;8,43;33;16,44;1;1;2
15;9;2;38;52;100;1121;8,06;37;35,18;1;1;1
16;9;4;74;62;116;1078;12,84;41;22,13;1;1;1
23;9;-1;24;96;106;1778;10,84;36;24,28;1;1;1
9;9;0;19;97;100;1392;8,93;33;16,67;1;1;2
52;9;5;70;98;205;2395;48,93;45;22,04;1;1;2
34;9;-5;29;94;103;755,5;4,91;54;10,68;3;1;2
17;9;1;58;62;108;1336;16,22;38;22,17;1;1;1
25;9;1;8;95;106;1794;16,44;37;15,08;1;1;1
16;9;1;38;52;100;1250;9,20;37;34,62;1;1;1
58;9;2;18;92;125;2503;27,99;29;24,39;1;1;2
11;9;2;32;97;104;1792;20,62;34;16,89;1;1;2
37;9;2;53;101;141;1757;22,75;43;18,04;1;1;2
51;9;7;82;96;200;2276;43,01;33;14,23;1;1;2
22;9;-1;15;94;112;1595;17,17;36;16,23;1;2;2
21;10;4;46;62;114;1621;19,13;39;22,21;1;1;1
54;10;4;48;97;172;2590;48,52;31;16,41;1;1;2
24;10;1;24;96;106;1815;11,52;36;24,29;1;1;1
17;10;1;49;52;102;1250;13,11;37;34,41;1;1;1
15;10;0;18;78;113;2242;17,00;39;21,32;1;3;2
28;10;-6;31;94;103;751,5;4,30;54;10,68;3;1;2
21;10;-1;12;94;107;1604;12,56;36;16,24;1;2;2
25;10;0;16;95;106;1711;12,07;39;15,09;1;1;1
49;10;1;85;64;111;1436,5;12,80;39;14,92;2;1;2
35;10;1;76;94;118;1630;17,97;46;12,01;2;1;2
55;10;2;76;96;128;1762;13,93;30;22,89;1;1;2
17;10;-2;18;49;99;1116;7,70;35;31,69;1;1;1
23;10;1;73;84;112;1667;21,16;37;16,01;3;2;2
40;10;5;69;94;117;1709;17,05;46;12,03;2;1;2
43;10;5;60;96;189;2025;36,95;36;10,24;1;1;2
15;10;2;69;97;117;1398;18,01;38;17,11;1;1;2
34;10;3;79;94;117;1502,5;17,36;45;11,99;2;1;2
39;10;2;66;95;176;1845;30,99;35;10,22;1;1;2
41;10;2;65;94;113;1760;17,02;46;12,05;2;1;2
14;10;-1;12;78;112;2252;16,61;38;21,37;1;3;2
16;10;-1;33;50;99;1136;9,78;35;31,39;1;1;1
19;10;2;46;52;107;1363;14,90;38;34,23;1;1;1
22;10;0;67;84;105;1440,5;16,61;37;15,93;3;2;2
39;10;1;32;101;133;1787;24,36;43;18,04;1;1;2
37;10;2;72;95;156;1845;25,45;35;10,18;1;1;2
24;10;3;43;64;122;1816;24,70;40;22,26;1;1;1
32;10;2;80;94;116;1396,5;16,72;44;11,96;2;1;2
49;10;5;56;96;189;2191;42,43;37;10,25;1;1;2
24;10;0;22;96;108;1908;11,52;36;24,33;1;1;1
20;10;-8;33;94;103;750,5;3,86;54;10,73;3;1;2
32;10;1;56;95;105;1284;11,77;52;15,40;3;1;2
25;10;-2;20;94;112;1866;15,28;30;20,42;1;1;2
14;10;1;13;78;109;2140;14,71;38;21,39;1;3;2
16;10;0;68;50;101;1234;13,89;36;31,31;1;1;1
43;10;2;10;94;110;1765,5;17,02;45;12,05;2;1;2
13;10;-1;17;79;107;1968;13,50;37;21,41;1;3;2
35;10;1;71;95;130;1680;16,22;35;10,13;1;1;2
22;10;-3;17;84;106;1367;12,38;37;15,87;3;2;2
13;10;0;18;79;106;1958;13,37;37;21,42;1;3;2
24;10;-1;21;95;105;1726;11,16;37;15,11;1;1;1
12;10;0;18;79;106;1990;13,37;37;21,42;1;3;2
55;10;3;17;98;141;2382;35,53;44;22,04;1;1;2
30;10;-1;92;94;107;1279;15,99;43;11,94;2;1;2
19;10;5;67;97;133;1720;21,76;38;17,13;1;1;2
14;10;1;18;79;106;2035;14,30;37;21,45;1;3;2
21;10;-2;9;94;105;1467;13,69;34;16,26;1;2;2
18;10;2;68;50;106;1423;16,39;37;31,24;1;1;1
20;10;1;25;52;103;1509;11,59;39;33,75;1;1;1
13;10;-7;31;95;103;750;3,99;54;10,80;3;1;2
34;10;0;51;95;116;1544;15,69;32;10,12;1;1;2
52;10;4;20;97;171;2354;39,51;36;10,24;1;1;2
14;10;0;18;79;107;2075;15,74;37;21,48;1;3;2
33;10;1;36;95;104;1356;15,61;52;15,41;3;1;2
58;10;0;16;92;125;2474;29,17;29;24,47;1;1;2
11;10;11;47;98;110;1755;18,71;40;18,47;1;1;2
13;10;2;25;98;112;988;11,20;39;18,52;1;1;2
31;10;-1;27;94;104;1258;9,08;43;11,92;2;1;2
10;10;-3;82;95;103;627,5;4,05;54;10,88;3;1;2
16;10;2;24;79;112;2316;20,41;37;21,54;1;3;2
25;10;1;20;96;109;1989;13,48;36;24,33;1;1;1
56;10;5;49;96;187;2488;46,76;32;14,25;1;1;2
34;10;0;23;95;103;1466;9,10;32;10,10;1;1;2
27;10;3;32;64;129;2050;20,07;40;22,26;1;1;1
20;10;3;58;50;112;1607;19,30;38;31,20;1;1;1
16;10;4;6;86;114;1544;10,91;38;24,24;3;2;2
16;10;0;83;86;110;1197;14,17;36;24,28;3;2;2
41;10;3;22;101;115;1768;13,78;41;17,97;1;1;2
24;10;0;18;95;105;1789;11,35;37;15,15;1;1;1
11;11;4;44;86;115;1905;16,13;35;24,09;3;2;2
20;11;1;16;98;122;1778;13,84;38;17,11;1;1;2
10;11;0;76;95;103;702,5;6,11;54;10,96;3;1;2
16;11;4;13;64;115;1237;14,46;39;23,95;1;1;2
20;11;3;75;64;116;1571;20,84;39;23,99;1;1;2
33;11;1;12;95;107;1454;10,69;35;10,11;1;1;2
14;11;0;41;79;101;1103;7,29;33;21,45;1;3;2
16;11;2;60;79;101;1177;12,61;34;21,56;1;3;2
16;11;0;18;79;112;1170;8,30;36;21,53;1;3;2
14;11;-1;29;79;101;1100;6,57;33;21,46;1;3;2
35;11;4;84;64;107;791,5;7,33;39;18,87;3;2;2
18;11;2;30;79;108;1391;14,18;36;21,63;1;3;2
56;11;3;68;97;142;1985;20,04;34;10,21;1;1;2
32;11;1;65;55;103;1292;13,30;33;19,19;3;3;2
15;11;-2;24;79;103;1102;6,85;33;21,47;1;3;2
12;11;5;60;64;114;2054;29,12;39;23,92;1;1;1
14;11;-1;60;94;112;1496;13,64;45;29,70;1;1;2
7;11;4;61;86;103;1324;15,46;35;23,83;3;2;2
31;11;2;71;55;103;1242,5;14,19;34;19,20;3;3;2
32;11;0;65;55;103;1332;13,94;33;19,17;3;3;2
3;11;-6;25;98;101;850;4,53;34;18,31;1;1;2
20;11;4;77;86;119;1529;19,05;36;24,26;3;2;2
29;11;1;30;55;104;1644;17,80;36;19,39;3;3;2
29;11;-1;73;55;103;1141,5;12,99;34;19,21;3;3;2
55;11;0;54;96;145;1819;26,97;29;22,82;1;1;2
30;11;1;24;55;104;796;6,05;35;19,22;3;3;2
24;11;5;64;64;131;1914;28,55;40;24,03;1;1;2
12;11;2;99;95;103;858,5;10,24;53;11,04;3;1;2
9;11;-4;21;98;103;876;4,76;36;18,31;1;1;2
23;11;2;26;50;113;1600;13,93;38;30,93;1;1;1
12;11;2;31;97;105;1867;14,34;38;18,30;1;1;2
18;11;5;46;94;123;1725;17,53;47;29,69;1;1;2
9;11;-3;39;80;100;1323;9,18;32;21,79;1;3;2
18;11;0;13;80;103;1272;11,61;36;21,73;1;3;2
32;11;5;49;95;124;1447;16,01;38;10,12;1;1;2
11;11;2;29;80;111;1554;15,26;37;21,95;1;3;2
24;11;-1;19;94;111;1709;23,40;31;20,44;1;1;2
12;11;-5;30;80;101;871;4,99;32;21,70;1;3;2
11;11;0;16;80;111;1935;14,94;38;22,07;1;3;2
17;11;-2;25;80;104;932;4,95;36;21,70;1;3;2
29;11;4;17;96;110;2036;13,81;36;24,35;1;1;1
7;11;-1;32;64;100;1211;14,92;36;23,82;1;1;1
10;11;2;22;97;102;1515;10,41;37;18,24;1;1;2
14;11;2;20;80;109;2028;15,02;38;22,22;1;3;2
30;11;2;35;64;121;2204;27,56;39;22,30;1;1;2
24;11;3;30;98;118;1933;15,29;37;17,05;1;1;2
3;11;0;32;86;101;1078;8,69;35;23,67;3;2;2
15;11;4;99;95;108;1165,5;13,13;53;11,10;3;1;2
15;11;2;11;80;110;2080;14,37;38;22,39;1;3;2
29;11;5;38;64;139;2107;29,29;39;24,07;1;1;2
23;11;3;34;86;122;1688;13,57;38;24,13;3;2;2
55;11;0;20;98;127;2351;26,35;42;21,97;1;1;2
15;11;-4;25;52;100;1044;9,05;37;32,58;1;1;1
8;11;0;26;97;100;1248;9,90;37;18,17;1;1;2
23;11;0;32;50;104;1551;11,13;36;30,54;1;1;1
35;11;0;80;65;103;1373;17,16;37;18,83;3;2;2
15;11;1;82;85;108;1227;14,17;40;22,63;3;2;1
14;11;-2;16;80;108;1930;11,93;38;22,50;1;3;2
14;11;-1;78;52;101;951;10,07;34;32,44;1;1;1
57;11;1;60;97;136;1824;29,12;33;10,19;1;1;2
12;11;3;35;85;111;1935;16,40;39;22,61;3;2;1
19;11;4;63;85;115;1489;17,63;38;22,64;3;2;1
8;11;-5;27;64;100;885;5,36;34;23,73;1;1;1
9;11;9;28;85;105;1421;14,30;37;22,54;3;2;1
